Source,Target,Type,Id,Label,timeset
Galeocerdo cuvier,Sphyraena borealis,Directed,,preysOn,
Galeocerdo cuvier,Sphyraena picudilla,Directed,,eats,
Galeocerdo cuvier,Sphyrna lewini,Directed,,preysOn,
Galeocerdo cuvier,Sphyrna lewini,Directed,,eats,
Galeocerdo cuvier,Sphyrna tiburo,Directed,,preysOn,
Galeocerdo cuvier,Sphyrna tiburo,Directed,,eats,
Galeocerdo cuvier,Stegastes fuscus,Directed,,preysOn,
Galeocerdo cuvier,Stegastes fuscus,Directed,,eats,
Galeocerdo cuvier,Stenella attenuata,Directed,,eats,
Galeocerdo cuvier,Stenella attenuata,Directed,,preysOn,
Galeocerdo cuvier,Strongylura timucu,Directed,,preysOn,
Galeocerdo cuvier,Strongylura timucu,Directed,,eats,
Galeocerdo cuvier,Synodus foetens,Directed,,preysOn,
Galeocerdo cuvier,Synodus foetens,Directed,,eats,
Galeocerdo cuvier,Synodus intermedius,Directed,,preysOn,
Galeocerdo cuvier,Synodus intermedius,Directed,,eats,
Galeocerdo cuvier,Synodus synodus,Directed,,preysOn,
Galeocerdo cuvier,Synodus synodus,Directed,,eats,
Galeocerdo cuvier,Taningia danae,Directed,,eats,
Galeocerdo cuvier,Taningia danae,Directed,,preysOn,
Galeocerdo cuvier,Trachinotus falcatus,Directed,,preysOn,
Galeocerdo cuvier,Trachinotus falcatus,Directed,,eats,
Galeocerdo cuvier,Trachinotus goodei,Directed,,preysOn,
Galeocerdo cuvier,Trachinotus goodei,Directed,,eats,
Galeocerdo cuvier,Triaenodon obesus,Directed,,preysOn,
Galeocerdo cuvier,Tursiops aduncus,Directed,,eats,
Galeocerdo cuvier,Tursiops aduncus,Directed,,preysOn,
Galeocerdo cuvier,Tylosurus acus,Directed,,eats,
Galeocerdo cuvier,Tylosurus acus acus,Directed,,preysOn,
Galeocerdo cuvier,Tylosurus crocodilus crocodilus,Directed,,preysOn,
Galeocerdo cuvier,Tylosurus crocodilus,Directed,,eats,
Galeocerdo cuvier,Xyrichtys novacula,Directed,,preysOn,
Galeocerdo cuvier,Xyrichtys novacula,Directed,,eats,
Galeocerdo cuvier,unidentified,Directed,,eats,
Reptilian orthoreovirus,Atheris squamigera,Directed,,pathogenOf,
Reptilian orthoreovirus,Atheris squamigera,Directed,,hasHost,
Reptilian orthoreovirus,Boa constrictor,Directed,,hasHost,
Reptilian orthoreovirus,Boiga irregularis,Directed,,hasHost,
Reptilian orthoreovirus,Corallus caninus,Directed,,pathogenOf,
Reptilian orthoreovirus,Crotalus scutulatus,Directed,,hasHost,
Reptilian orthoreovirus,Crotalus viridis,Directed,,pathogenOf,
Reptilian orthoreovirus,Ctenosaura bakeri,Directed,,pathogenOf,
Reptilian orthoreovirus,Ctenosaura similis,Directed,,pathogenOf,
Reptilian orthoreovirus,Lacerta viridis,Directed,,pathogenOf,
Reptilian orthoreovirus,Morelia spilota,Directed,,hasHost,
Reptilian orthoreovirus,Opheodrys aestivus,Directed,,pathogenOf,
Reptilian orthoreovirus,Orthriophis moellendorffi,Directed,,pathogenOf,
Reptilian orthoreovirus,Orthriophis taeniurus,Directed,,pathogenOf,
Reptilian orthoreovirus,Pantherophis guttatus,Directed,,hasHost,
Reptilian orthoreovirus,Python regius,Directed,,pathogenOf,
Reptilian orthoreovirus,Testudo graeca,Directed,,pathogenOf,
Reptilian orthoreovirus,Testudo graeca,Directed,,hasHost,
Reptilian orthoreovirus,Xenosaurus grandis,Directed,,pathogenOf,
Reptilian orthoreovirus,Zamenis longissimus,Directed,,pathogenOf,
European catfish virus,Ameiurus melas,Directed,,hasHost,
European catfish virus,Silurus glanis,Directed,,pathogenOf,
European catfish virus,Silurus glanis,Directed,,hasHost,
Aprostocetus tilicola,Venezuelan equine encephalitis virus,Directed,,parasiteOf,
Venezuelan equine encephalitis virus,Aedes aegypti,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Aedes aegypti,Directed,,hasHost,
Venezuelan equine encephalitis virus,Aedes scapularis,Directed,,hasHost,
Venezuelan equine encephalitis virus,Artibeus jamaicensis,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Artibeus jamaicensis,Directed,,hasHost,
Venezuelan equine encephalitis virus,Artibeus lituratus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Artibeus lituratus,Directed,,hasHost,
Venezuelan equine encephalitis virus,Artibeus planirostris,Directed,,hasHost,
Venezuelan equine encephalitis virus,Artibeus planirostris,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Bos taurus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Bos taurus,Directed,,hasHost,
Venezuelan equine encephalitis virus,Butorides virescens,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Caiman crocodilus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Caluromys derbianus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Caluromys derbianus,Directed,,hasHost,
Venezuelan equine encephalitis virus,Canis latrans,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Canis latrans,Directed,,hasHost,
Venezuelan equine encephalitis virus,Canis lupus familiaris,Directed,,hasHost,
Venezuelan equine encephalitis virus,Canis lupus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Capra hircus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Capra hircus,Directed,,hasHost,
Venezuelan equine encephalitis virus,Carollia brevicauda,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Carollia brevicauda,Directed,,hasHost,
Venezuelan equine encephalitis virus,Carollia perspicillata,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Carollia perspicillata,Directed,,hasHost,
Venezuelan equine encephalitis virus,Carollia subrufa,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Carollia subrufa,Directed,,hasHost,
Venezuelan equine encephalitis virus,Coragyps atratus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Corvus brachyrhynchos,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Crotophaga sulcirostris,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Culex coronator,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Culex coronator,Directed,,hasHost,
Venezuelan equine encephalitis virus,Culex erraticus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Culex mollis,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Culex mollis,Directed,,hasHost,
Venezuelan equine encephalitis virus,Culex nigripalpus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Culex pipiens,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Culex portesi,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Culex portesi,Directed,,hasHost,
Venezuelan equine encephalitis virus,Culex taeniopus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Cuniculus paca,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Cuniculus paca,Directed,,hasHost,
Venezuelan equine encephalitis virus,Dasypus novemcinctus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Dasypus novemcinctus,Directed,,hasHost,
Venezuelan equine encephalitis virus,Dermanura phaeotis,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Dermanura phaeotis,Directed,,hasHost,
Venezuelan equine encephalitis virus,Desmodus rotundus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Desmodus rotundus,Directed,,hasHost,
Venezuelan equine encephalitis virus,Didelphis marsupialis,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Didelphis marsupialis,Directed,,hasHost,
Venezuelan equine encephalitis virus,Didelphis virginiana,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Didelphis virginiana,Directed,,hasHost,
Venezuelan equine encephalitis virus,Dipodomys microps,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Dipodomys microps,Directed,,hasHost,
Venezuelan equine encephalitis virus,Dumetella carolinensis,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Egretta caerulea,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Equus asinus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Equus asinus,Directed,,hasHost,
Venezuelan equine encephalitis virus,Equus caballus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Equus caballus,Directed,,hasHost,
Venezuelan equine encephalitis virus,Gallus gallus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Geomys bursarius,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Geomys bursarius,Directed,,hasHost,
Venezuelan equine encephalitis virus,Glossophaga commissarisi,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Glossophaga commissarisi,Directed,,hasHost,
Venezuelan equine encephalitis virus,Glossophaga soricina,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Glossophaga soricina,Directed,,hasHost,
Venezuelan equine encephalitis virus,Heteromys anomalus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Heteromys anomalus,Directed,,hasHost,
Venezuelan equine encephalitis virus,Heteromys salvini,Directed,,hasHost,
Venezuelan equine encephalitis virus,Homo sapiens,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Homo sapiens,Directed,,hasHost,
Venezuelan equine encephalitis virus,Hoplomys gymnurus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Hoplomys gymnurus,Directed,,hasHost,
Venezuelan equine encephalitis virus,Hylaeamys laticeps,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Hylaeamys laticeps,Directed,,hasHost,
Venezuelan equine encephalitis virus,Icterus prosthemelas,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Lepus californicus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Lepus californicus,Directed,,hasHost,
Venezuelan equine encephalitis virus,Liomys salvini,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Mansonia titillans,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Marmosa robinsoni,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Marmosa robinsoni,Directed,,hasHost,
Venezuelan equine encephalitis virus,Melanomys caliginosus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Melanomys caliginosus,Directed,,hasHost,
Venezuelan equine encephalitis virus,Meleagris gallopavo,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Mesocricetus auratus,Directed,,hasHost,
Venezuelan equine encephalitis virus,Mesocricetus auratus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Mus musculus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Mus musculus,Directed,,hasHost,
Venezuelan equine encephalitis virus,Myiozetetes granadensis,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Myiozetetes similis,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Myotis nigricans,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Myotis nigricans,Directed,,hasHost,
Venezuelan equine encephalitis virus,Nectomys squamipes,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Nectomys squamipes,Directed,,hasHost,
Venezuelan equine encephalitis virus,Ochlerotatus fulvus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Ochlerotatus scapularis,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Odocoileus virginianus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Odocoileus virginianus,Directed,,hasHost,
Bijou Bridge virus,Oeciacus vicarius,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Oreoscoptes montanus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Oryzomys alfaroi,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Oryzomys alfaroi,Directed,,hasHost,
Venezuelan equine encephalitis virus,Oryzomys palustris,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Oryzomys palustris,Directed,,hasHost,
Venezuelan equine encephalitis virus,Ovis aries,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Ovis aries,Directed,,hasHost,
Venezuelan equine encephalitis virus,Pecari tajacu,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Pecari tajacu,Directed,,hasHost,
Venezuelan equine encephalitis virus,Peromyscus gossypinus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Peromyscus gossypinus,Directed,,hasHost,
Venezuelan equine encephalitis virus,Peromyscus maniculatus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Peromyscus maniculatus,Directed,,hasHost,
Venezuelan equine encephalitis virus,Philander opossum,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Philander opossum,Directed,,hasHost,
Venezuelan equine encephalitis virus,Phyllostomus discolor,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Phyllostomus discolor,Directed,,hasHost,
Venezuelan equine encephalitis virus,Procyon lotor,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Procyon lotor,Directed,,hasHost,
Venezuelan equine encephalitis virus,Proechimys guairae,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Proechimys guairae,Directed,,hasHost,
Venezuelan equine encephalitis virus,Proechimys guyannensis,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Proechimys guyannensis,Directed,,hasHost,
Venezuelan equine encephalitis virus,Proechimys semispinosus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Proechimys semispinosus,Directed,,hasHost,
Venezuelan equine encephalitis virus,Psorophora confinnis,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Pteroglossus torquatus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Quiscalus quiscula,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Ramphastos sulfuratus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Ramphastos swainsonii,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Ramphocelus passerinii,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Rattus norvegicus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Rattus norvegicus,Directed,,hasHost,
Venezuelan equine encephalitis virus,Rattus rattus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Rattus rattus,Directed,,hasHost,
Venezuelan equine encephalitis virus,Reithrodontomys megalotis,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Reithrodontomys megalotis,Directed,,hasHost,
Venezuelan equine encephalitis virus,Sapajus apella,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Sapajus apella,Directed,,hasHost,
Venezuelan equine encephalitis virus,Sciurus granatensis,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Sciurus granatensis,Directed,,hasHost,
Venezuelan equine encephalitis virus,Sciurus variegatoides,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Sciurus variegatoides,Directed,,hasHost,
Venezuelan equine encephalitis virus,Setophaga coronata,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Sigmodon hispidus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Sigmodon hispidus,Directed,,hasHost,
Venezuelan equine encephalitis virus,Sphiggurus mexicanus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Sphiggurus mexicanus,Directed,,hasHost,
Venezuelan equine encephalitis virus,Sturnira lilium,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Sturnira lilium,Directed,,hasHost,
Venezuelan equine encephalitis virus,Sturnira ludovici,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Sturnira ludovici,Directed,,hasHost,
Venezuelan equine encephalitis virus,Sus scrofa scrofa,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Sus scrofa,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Sus scrofa,Directed,,hasHost,
Venezuelan equine encephalitis virus,Sus scrofa domesticus,Directed,,hasHost,
Venezuelan equine encephalitis virus,Sylvilagus audubonii,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Sylvilagus audubonii,Directed,,hasHost,
Venezuelan equine encephalitis virus,Sylvilagus floridanus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Sylvilagus floridanus,Directed,,hasHost,
Venezuelan equine encephalitis virus,Sylvilagus nuttallii,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Sylvilagus nuttallii,Directed,,hasHost,
Venezuelan equine encephalitis virus,Transandinomys bolivaris,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Transandinomys bolivaris,Directed,,hasHost,
Venezuelan equine encephalitis virus,Turdus grayi,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Urocyon cinereoargenteus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Urocyon cinereoargenteus,Directed,,hasHost,
Venezuelan equine encephalitis virus,Uroderma bilobatum,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Uroderma bilobatum,Directed,,hasHost,
Venezuelan equine encephalitis virus,Ursus americanus,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Ursus americanus,Directed,,hasHost,
Venezuelan equine encephalitis virus,Vulpes macrotis,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Vulpes macrotis,Directed,,hasHost,
Venezuelan equine encephalitis virus,Zygodontomys brevicauda,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Zygodontomys brevicauda,Directed,,hasHost,
Neisseria iguanae,Cyclura cornuta,Directed,,pathogenOf,
Burkholderia phage Bp-AMP2,Burkholderia pseudomallei K96243,Directed,,pathogenOf,
Burkholderia phage ST79,Burkholderia pseudomallei,Directed,,pathogenOf,
Burkholderia phage Bp-AMP4,Burkholderia pseudomallei K96243,Directed,,pathogenOf,
Burkholderia phage Bp-AMP1,Burkholderia pseudomallei K96243,Directed,,pathogenOf,
Burkholderia virus phiE122,Burkholderia pseudomallei,Directed,,pathogenOf,
Burkholderia phage BEK,Burkholderia pseudomallei 9,Directed,,pathogenOf,
Burkholderia virus phi1026b,Burkholderia pseudomallei 1026b,Directed,,pathogenOf,
Burkholderia virus phi6442,Burkholderia pseudomallei,Directed,,pathogenOf,
Burkholderia virus phi52237,Burkholderia pseudomallei,Directed,,pathogenOf,
Burkholderia phage Bp-AMP3,Burkholderia pseudomallei K96243,Directed,,pathogenOf,
Burkholderia phage phiX216,Burkholderia pseudomallei,Directed,,pathogenOf,
Burkholderia phage KS9,Burkholderia pseudomallei,Directed,,pathogenOf,
Burkholderia pseudomallei,Ailuropoda melanoleuca,Directed,,pathogenOf,
Burkholderia pseudomallei,Amazona albifrons,Directed,,pathogenOf,
Burkholderia pseudomallei,Bos taurus,Directed,,pathogenOf,
Burkholderia pseudomallei,Bos taurus,Directed,,hasHost,
Burkholderia pseudomallei,Brachyteles arachnoides,Directed,,pathogenOf,
Burkholderia pseudomallei,Bubalus bubalis,Directed,,pathogenOf,
Burkholderia pseudomallei,Cacatua galerita,Directed,,pathogenOf,
Burkholderia pseudomallei,Caenorhabditis elegans,Directed,,pathogenOf,
Burkholderia pseudomallei,Camelus dromedarius,Directed,,pathogenOf,
Burkholderia pseudomallei,Canis lupus familiaris,Directed,,pathogenOf,
Burkholderia pseudomallei,Capra hircus,Directed,,pathogenOf,
Burkholderia pseudomallei,Capra hircus,Directed,,hasHost,
Burkholderia pseudomallei,Capricornis sumatraensis,Directed,,pathogenOf,
Burkholderia pseudomallei,Cervus nippon,Directed,,pathogenOf,
Burkholderia pseudomallei,Dama dama,Directed,,pathogenOf,
Burkholderia pseudomallei,Dromaius novaehollandiae,Directed,,pathogenOf,
Burkholderia pseudomallei,Eolophus roseicapilla,Directed,,pathogenOf,
Burkholderia pseudomallei,Equus caballus,Directed,,pathogenOf,
Burkholderia pseudomallei,Equus caballus,Directed,,hasHost,
Burkholderia pseudomallei,Erythrocebus patas,Directed,,pathogenOf,
Burkholderia pseudomallei,Eudyptes chrysolophus,Directed,,pathogenOf,
Burkholderia pseudomallei,Felis catus,Directed,,pathogenOf,
Burkholderia pseudomallei,Felis catus,Directed,,hasHost,
Burkholderia pseudomallei,Galleria mellonella,Directed,,pathogenOf,
Burkholderia pseudomallei,Geopelia striata placida,Directed,,pathogenOf,
Burkholderia pseudomallei,Halichoerus grypus,Directed,,pathogenOf,
Burkholderia pseudomallei,Homo sapiens,Directed,,pathogenOf,
Burkholderia pseudomallei (Ara+ biotype),Homo sapiens,Directed,,pathogenOf,
Burkholderia pseudomallei K96243,Homo sapiens,Directed,,pathogenOf,
Burkholderia pseudomallei 1710a,Homo sapiens,Directed,,pathogenOf,
Burkholderia pseudomallei 1106b,Homo sapiens,Directed,,pathogenOf,
Burkholderia pseudomallei 1655,Homo sapiens,Directed,,pathogenOf,
Burkholderia pseudomallei 406e,Homo sapiens,Directed,,pathogenOf,
Burkholderia pseudomallei 1710b,Homo sapiens,Directed,,pathogenOf,
Burkholderia pseudomallei 668,Homo sapiens,Directed,,pathogenOf,
Burkholderia pseudomallei 1106a,Homo sapiens,Directed,,pathogenOf,
Burkholderia pseudomallei,Homo sapiens,Directed,,hasHost,
Burkholderia pseudomallei,Hylobates lar,Directed,,pathogenOf,
Burkholderia pseudomallei,Hylobates sp.,Directed,,pathogenOf,
Burkholderia pseudomallei,Lagenorhynchus obliquidens,Directed,,pathogenOf,
Burkholderia pseudomallei,Lorius chlorocercus,Directed,,pathogenOf,
Burkholderia pseudomallei,Macaca arctoides,Directed,,pathogenOf,
Burkholderia pseudomallei,Macaca fascicularis,Directed,,pathogenOf,
Burkholderia pseudomallei,Macaca mulatta,Directed,,pathogenOf,
Burkholderia pseudomallei,Macaca nemestrina,Directed,,pathogenOf,
Burkholderia pseudomallei,Macropus sp.,Directed,,pathogenOf,
Burkholderia pseudomallei,Mus musculus,Directed,,pathogenOf,
Burkholderia pseudomallei,Orcinus orca,Directed,,pathogenOf,
Burkholderia pseudomallei,Ovis aries,Directed,,pathogenOf,
Burkholderia pseudomallei,Ovis aries musimon,Directed,,pathogenOf,
Burkholderia pseudomallei,Ovis aries,Directed,,hasHost,
Burkholderia pseudomallei,Pan troglodytes,Directed,,pathogenOf,
Burkholderia pseudomallei,Phascolarctos cinereus,Directed,,pathogenOf,
Burkholderia pseudomallei,Presbytis melalophos,Directed,,pathogenOf,
Burkholderia pseudomallei,Pseudorca crassidens,Directed,,pathogenOf,
Burkholderia pseudomallei,Sus scrofa scrofa,Directed,,pathogenOf,
Burkholderia pseudomallei,Sus scrofa,Directed,,pathogenOf,
Burkholderia pseudomallei,Sus scrofa,Directed,,hasHost,
Burkholderia pseudomallei,Tursiops truncatus,Directed,,pathogenOf,
Burkholderia pseudomallei,Vicugna pacos,Directed,,pathogenOf,
Burkholderia pseudomallei,Zalophus californianus,Directed,,pathogenOf,
Campylobacter iguaniorum,Aldabrachelys gigantea,Directed,,pathogenOf,
Campylobacter iguaniorum,Chelonoidis carbonaria,Directed,,pathogenOf,
Campylobacter iguaniorum,Pogona vitticeps,Directed,,pathogenOf,
Campylobacter iguaniorum,Sauromalus ater,Directed,,pathogenOf,
Campylobacter iguaniorum,Stigmochelys pardalis,Directed,,pathogenOf,
Campylobacter iguaniorum,Vicugna pacos,Directed,,pathogenOf,
Chlamydia virus CPAR39,Chlamydia pneumoniae AR39,Directed,,pathogenOf,
Chlamydia pneumoniae,Bitis arietans,Directed,,pathogenOf,
Chlamydia pneumoniae,Chamaeleo dilepis,Directed,,pathogenOf,
Chlamydia pneumoniae,Chelonia mydas,Directed,,pathogenOf,
Chlamydia pneumoniae,Corallus caninus,Directed,,pathogenOf,
Chlamydia pneumoniae,Equus caballus,Directed,,pathogenOf,
Chlamydia pneumoniae,Homo sapiens,Directed,,pathogenOf,
Chlamydia pneumoniae,Litoria citropa,Directed,,pathogenOf,
Chlamydia pneumoniae,Perameles bougainville,Directed,,pathogenOf,
Chlamydia pneumoniae,Phascolarctos cinereus,Directed,,pathogenOf,
Chlamydia pneumoniae,Potorous gilbertii,Directed,,pathogenOf,
Chlamydia pneumoniae,Python molurus,Directed,,pathogenOf,
Chlamydia pneumoniae,Xenopus tropicalis,Directed,,pathogenOf,
Chlamydophila felis,Felis catus,Directed,,pathogenOf,
Chlamydophila felis,Felis catus,Directed,,hasHost,
Chlamydophila felis,Homo sapiens,Directed,,pathogenOf,
Chlamydophila felis,Homo sapiens,Directed,,hasHost,
Chlamydophila felis,Lynx pardinus,Directed,,parasiteOf,
Kalicephalus subulatus,Boa imperator,Directed,,hasHost,
Linguatula crotali,Boa imperator,Directed,,hasHost,
Linguatula clavata,Boa imperator,Directed,,hasHost,
Porocephalus clavatus,Boa imperator,Directed,,hasHost,
Kalicephalus viperae,Boa imperator,Directed,,hasHost,
Hastospiculum onchocercum,Boa imperator,Directed,,hasHost,
Boa constrictor papillomavirus 1,Boa imperator,Directed,,pathogenOf,
Kalicephalus viperae,Boa imperator,Directed,,parasiteOf,
Porocephalus clavatus,Boa imperator,Directed,,parasiteOf,
Boa imperator,Ctenosaura pectinata,Directed,,preysOn,
Boa imperator,Ctenosaura similis,Directed,,eats,
Boa imperator,Dasyprocta punctata,Directed,,preysOn,
Boa imperator,Dasyprocta punctata,Directed,,eats,
Boa imperator,Florisuga mellivora,Directed,,preysOn,
Boa imperator,Sciurus colliaei,Directed,,preysOn,
Boa imperator,Streptopelia decaocto,Directed,,preysOn,
Eastern equine encephalitis virus,Trachemys scripta,Directed,,pathogenOf,
Gnathostoma binucleatum,Trachemys scripta,Directed,,parasiteOf,
Gnathostoma procyonis,Trachemys scripta,Directed,,parasiteOf,
Spiroxys contorta,Trachemys scripta,Directed,,parasiteOf,
Serpinema trispinosum,Trachemys scripta,Directed,,parasiteOf,
Ardea herodias,Trachemys scripta,Directed,,preysOn,
Alligator mississippiensis,Trachemys scripta,Directed,,preysOn,
Quiscalus major,Trachemys scripta,Directed,,eats,
Procyon lotor,Trachemys scripta,Directed,,eats,
Didelphis virginiana,Trachemys scripta,Directed,,eats,
Vulpes vulpes,Trachemys scripta,Directed,,eats,
Mephitis mephitis,Trachemys scripta,Directed,,eats,
Pituophis ruthveni,Trachemys scripta,Directed,,preysOn,
Neoechinorhynchus emydis,Trachemys scripta troostii,Directed,,hasHost,
Polystomoides coronatum,Trachemys scripta,Directed,,hasHost,
Neoechinorhynchus magnapapillatus,Trachemys scripta,Directed,,hasHost,
Spirorchis artericola,Trachemys scripta,Directed,,hasHost,
Neoechinorhynchus emyditoides,Trachemys scripta troostii,Directed,,hasHost,
Neoechinorhynchus chelonos,Trachemys scripta,Directed,,hasHost,
Neoechinorhynchus (Neoechinorhynchus) pseudemydis,Trachemys scripta troostii,Directed,,hasHost,
Camallanus microcephalus,Trachemys scripta,Directed,,hasHost,
Spirorchis elegans,Trachemys scripta,Directed,,hasHost,
Neoechinorhynchus emyditoides,Trachemys scripta ornata,Directed,,hasHost,
Myxidium chelonarum,Trachemys scripta,Directed,,hasHost,
Allassostoma magnum,Trachemys scripta,Directed,,hasHost,
Falcaustra affinis,Trachemys scripta,Directed,,hasHost,
Cercorchis membranasceus,Trachemys scripta ornata,Directed,,hasHost,
Serpinema trispinosum,Trachemys scripta ornata,Directed,,hasHost,
Neoechinorhynchus schmidti,Trachemys scripta venusta,Directed,,hasHost,
Neoechinorhynchus (Neoechinorhynchus) pseudemydis,Trachemys scripta,Directed,,hasHost,
Neopolystoma orbiculare,Trachemys scripta,Directed,,hasHost,
Camallanus troosti,Trachemys scripta,Directed,,hasHost,
Neoechinorhynchus emydis,Trachemys scripta,Directed,,hasHost,
Telorchis corti,Trachemys scripta,Directed,,hasHost,
Neoechinorhynchus emyditoides,Trachemys scripta,Directed,,hasHost,
Neoechinorhynchus pseudemydis,Trachemys scripta,Directed,,hasHost,
Telorchis medius,Trachemys scripta,Directed,,hasHost,
Spirorchis parvus,Trachemys scripta,Directed,,hasHost,
Macravestibulum obtusicaudum,Trachemys scripta,Directed,,hasHost,
Spiroxys contorta,Trachemys scripta,Directed,,endoparasiteOf,
Serpinema trispinosum,Trachemys scripta,Directed,,endoparasiteOf,
