id;taxonID;scientificName;kingdom;phylum;class;order;family;genus;taxonRank;vernacularName;nomenclaturalCode;language;license;rightsHolder;accessRights;datasetID;datasetName
INBO_RL_CAR_2008_VAL_211;INBO_RL_CAR_2008_VAL_211;Demetrias imperialis;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Demetrias;species;Viervlekrietklimmer;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_212;INBO_RL_CAR_2008_VAL_212;Demetrias monostigma;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Demetrias;species;Ruitvlekrietklimmer;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_213;INBO_RL_CAR_2008_VAL_213;Diachromus germanus;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Diachromus;species;Bonte sierloper;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_214;INBO_RL_CAR_2008_VAL_214;Dicheirotrichus gustavii;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dicheirotrichus;species;Gewone kwelderloper;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_215;INBO_RL_CAR_2008_VAL_215;Dicheirotrichus obsoletus;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dicheirotrichus;species;Brede kwelderloper;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_216;INBO_RL_CAR_2008_VAL_216;Dromius agilis;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dromius;species;Donkerbruine schorsloper;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_217;INBO_RL_CAR_2008_VAL_217;Dromius angustus;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dromius;species;Geelbruine schorsloper;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_218;INBO_RL_CAR_2008_VAL_218;Dromius bifasciatus;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dromius;species;Zuidelijke schorsloper;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_219;INBO_RL_CAR_2008_VAL_219;Dromius fenestratus;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dromius;species;Tweevlekschorsloper;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_22;INBO_RL_CAR_2008_VAL_22;Agonum livens;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Agonum;species;Ringneksnelloper;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_220;INBO_RL_CAR_2008_VAL_220;Dromius linearis;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dromius;species;Smalle schorsloper;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_221;INBO_RL_CAR_2008_VAL_221;Dromius longiceps;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dromius;species;Langhalsschorsloper;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_222;INBO_RL_CAR_2008_VAL_222;Dromius melanocephalus;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Dromius;species;Zwartkopschorsloper;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
