id	description	type	source	language
INBO_RL_AMP_2013_VAL_3	aquatic	biome	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_3	eurytopic	biotope	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_3	longlived	lifespan	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_3	non cuddly	cuddliness	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_3	sedentary	mobility	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_3	vertebrate	spine	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_3	eutrophic	nutrient level	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_4	aquatic	biome	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_4	heathlands	biotope	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_4	dunes	biotope	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_4	longlived	lifespan	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_4	non cuddly	cuddliness	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_4	sedentary	mobility	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_4	vertebrate	spine	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_4	oligotrophic	nutrient level	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_5	aquatic	biome	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_5	standing waters	biotope	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_5	longlived	lifespan	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_5	non cuddly	cuddliness	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_5	sedentary	mobility	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_5	vertebrate	spine	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_5	mesotrophic	nutrient level	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_6	aquatic	biome	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_6	standing waters	biotope	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_6	longlived	lifespan	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_6	non cuddly	cuddliness	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_6	sedentary	mobility	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_6	vertebrate	spine	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_6	eutrophic	nutrient level	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_7	aquatic	biome	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_7	standing waters	biotope	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_7	longlived	lifespan	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_7	non cuddly	cuddliness	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_7	sedentary	mobility	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_7	vertebrate	spine	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_7	oligotrophic	nutrient level	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_8	aquatic	biome	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_8	standing waters	biotope	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_8	longlived	lifespan	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_8	non cuddly	cuddliness	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_8	sedentary	mobility	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_8	vertebrate	spine	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_8	eutrophic	nutrient level	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_9	aquatic	biome	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_9	standing waters	biotope	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_9	longlived	lifespan	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_9	non cuddly	cuddliness	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_9	sedentary	mobility	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_9	vertebrate	spine	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_9	mesotrophic	nutrient level	Jooris et al. (2013)	en
INBO_RL_BIR_2004_VAL_1	terrestrial	biome	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_1	woodlands	biotope	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_1	longlived	lifespan	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_1	non cuddly	cuddliness	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_1	mobile	mobility	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_1	vertebrate	spine	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_1	mesotrophic	nutrient level	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_10	vertebrate	spine	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_100	terrestrial	biome	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_100	woodlands	biotope	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_100	longlived	lifespan	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_100	cuddly	cuddliness	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_100	mobile	mobility	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_100	vertebrate	spine	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_100	eutrophic	nutrient level	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_101	terrestrial	biome	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_101	agriculture	biotope	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_101	longlived	lifespan	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_101	cuddly	cuddliness	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_101	mobile	mobility	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_101	vertebrate	spine	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_101	eutrophic	nutrient level	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_102	terrestrial	biome	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_102	marshes	biotope	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_102	longlived	lifespan	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_102	cuddly	cuddliness	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_102	mobile	mobility	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_102	vertebrate	spine	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_102	eutrophic	nutrient level	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_103	terrestrial	biome	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_103	shrubs	biotope	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_103	shortlived	lifespan	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_103	cuddly	cuddliness	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_103	mobile	mobility	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_103	vertebrate	spine	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_103	eutrophic	nutrient level	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_104	vertebrate	spine	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_105	terrestrial	biome	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_105	agriculture	biotope	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_105	shortlived	lifespan	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_105	cuddly	cuddliness	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_105	mobile	mobility	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_105	vertebrate	spine	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_105	eutrophic	nutrient level	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_106	semi aquatic	biome	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_106	marshes	biotope	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_106	shortlived	lifespan	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_106	cuddly	cuddliness	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_106	mobile	mobility	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_106	vertebrate	spine	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_106	eutrophic	nutrient level	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_107	terrestrial	biome	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_107	woodlands	biotope	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_107	shortlived	lifespan	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_107	cuddly	cuddliness	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_107	mobile	mobility	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_107	vertebrate	spine	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_107	mesotrophic	nutrient level	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_108	terrestrial	biome	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_108	shrubs	biotope	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_108	shortlived	lifespan	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_108	cuddly	cuddliness	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_108	mobile	mobility	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_108	vertebrate	spine	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_108	mesotrophic	nutrient level	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_109	terrestrial	biome	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_109	shrubs	biotope	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_109	shortlived	lifespan	Birdlife International (2004) | Vermeersch et al. (2004)	en
