providedCol0;providedCol1;providedCol2;providedExternalId;providedName;providedCol5;providedCol6;providedCol7;providedCol8;providedCol9;providedCol10;providedCol11;relationName;resolvedExternalId;resolvedName;resolvedRank;resolvedCommonNames;resolvedPath;resolvedPathIds;resolvedPathNames;resolvedExternalUrl;resolvedThumbnailUrl
;Amaranthus blitum L.;SAME_AS;;Amaranthus blitum;;;;;;;;SYNONYM_OF;COL:CH5H;Amaranthus polygonoides;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Amaranthoideae | Amaranthus | Amaranthus polygonoides;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:68Z | COL:62758 | COL:T8M | COL:CH5H;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Amaranthus blitum subsp. blitum;SAME_AS;;Amaranthus blitum subsp. blitum;;;;;;;;NONE;;Amaranthus blitum subsp. blitum;;;;;;;
;Amaranthus budensis Priszter;SAME_AS;;Amaranthus budensis;;;;;;;;NONE;;Amaranthus budensis;;;;;;;
;Amaranthus caudatus L.;SAME_AS;;Amaranthus caudatus;;;;;;;;HAS_ACCEPTED_NAME;COL:CGZ8;Amaranthus caudatus;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Amaranthoideae | Amaranthus | Amaranthus caudatus;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:68Z | COL:62758 | COL:T8M | COL:CGZ8;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Amaranthus crispus (Lesp. & Th̩v.) N.Terracc.;SAME_AS;;Amaranthus crispus;;;;;;;;HAS_ACCEPTED_NAME;COL:CGZM;Amaranthus crispus;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Amaranthoideae | Amaranthus | Amaranthus crispus;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:68Z | COL:62758 | COL:T8M | COL:CGZM;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Amaranthus cruentus L.;SAME_AS;;Amaranthus cruentus;;;;;;;;SYNONYM_OF;COL:CGZ8;Amaranthus caudatus;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Amaranthoideae | Amaranthus | Amaranthus caudatus;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:68Z | COL:62758 | COL:T8M | COL:CGZ8;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Amaranthus cruentus L.;SAME_AS;;Amaranthus cruentus;;;;;;;;HAS_ACCEPTED_NAME;COL:CGZR;Amaranthus cruentus;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Amaranthoideae | Amaranthus | Amaranthus cruentus;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:68Z | COL:62758 | COL:T8M | COL:CGZR;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Amaranthus deflexus L.;SAME_AS;;Amaranthus deflexus;;;;;;;;HAS_ACCEPTED_NAME;COL:CGZV;Amaranthus deflexus;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Amaranthoideae | Amaranthus | Amaranthus deflexus;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:68Z | COL:62758 | COL:T8M | COL:CGZV;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Amaranthus emarginatus Salzm. ex Uline & W.L.Bray;SAME_AS;;Amaranthus emarginatus;;;;;;;;HAS_ACCEPTED_NAME;COL:CH26;Amaranthus emarginatus;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Amaranthoideae | Amaranthus | Amaranthus emarginatus;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:68Z | COL:62758 | COL:T8M | COL:CH26;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Amaranthus emarginatus Salzm. ex Uline & W.L.Bray;SAME_AS;;Amaranthus emarginatus;;;;;;;;SYNONYM_OF;COL:CH7N;Amaranthus viridis;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Amaranthoideae | Amaranthus | Amaranthus viridis;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:68Z | COL:62758 | COL:T8M | COL:CH7N;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Amaranthus graecizans L.;SAME_AS;;Amaranthus graecizans;;;;;;;;HAS_ACCEPTED_NAME;COL:65Z9L;Amaranthus graecizans;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Amaranthoideae | Amaranthus | Amaranthus graecizans;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:68Z | COL:62758 | COL:T8M | COL:65Z9L;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Amaranthus hybridus L.;SAME_AS;;Amaranthus hybridus;;;;;;;;HAS_ACCEPTED_NAME;COL:CH35;Amaranthus hybridus;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Amaranthoideae | Amaranthus | Amaranthus hybridus;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:68Z | COL:62758 | COL:T8M | COL:CH35;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Amaranthus hybridus L.;SAME_AS;;Amaranthus hybridus;;;;;;;;SYNONYM_OF;COL:CGZR;Amaranthus cruentus;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Amaranthoideae | Amaranthus | Amaranthus cruentus;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:68Z | COL:62758 | COL:T8M | COL:CGZR;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Amaranthus hypochondriacus L.;SAME_AS;;Amaranthus hypochondriacus;;;;;;;;HAS_ACCEPTED_NAME;COL:CH37;Amaranthus hypochondriacus;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Amaranthoideae | Amaranthus | Amaranthus hypochondriacus;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:68Z | COL:62758 | COL:T8M | COL:CH37;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Amaranthus palmeri S.Watson;SAME_AS;;Amaranthus palmeri;;;;;;;;HAS_ACCEPTED_NAME;COL:CH52;Amaranthus palmeri;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Amaranthoideae | Amaranthus | Amaranthus palmeri;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:68Z | COL:62758 | COL:T8M | COL:CH52;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Amaranthus powellii S.Watson;SAME_AS;;Amaranthus powellii;;;;;;;;HAS_ACCEPTED_NAME;COL:CH5L;Amaranthus powellii;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Amaranthoideae | Amaranthus | Amaranthus powellii;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:68Z | COL:62758 | COL:T8M | COL:CH5L;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Amaranthus quitensis Kunth;SAME_AS;;Amaranthus quitensis;;;;;;;;HAS_ACCEPTED_NAME;COL:CH5Y;Amaranthus quitensis;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Amaranthoideae | Amaranthus | Amaranthus quitensis;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:68Z | COL:62758 | COL:T8M | COL:CH5Y;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Amaranthus retroflexus L.;SAME_AS;;Amaranthus retroflexus;;;;;;;;HAS_ACCEPTED_NAME;COL:CH63;Amaranthus retroflexus;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Amaranthoideae | Amaranthus | Amaranthus retroflexus;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:68Z | COL:62758 | COL:T8M | COL:CH63;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Amaranthus spinosus L.;SAME_AS;;Amaranthus spinosus;;;;;;;;HAS_ACCEPTED_NAME;COL:CH6S;Amaranthus spinosus;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Amaranthoideae | Amaranthus | Amaranthus spinosus;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:68Z | COL:62758 | COL:T8M | COL:CH6S;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Amaranthus tuberculatus (Moq. ex DC.) J.D.Sauer;SAME_AS;;Amaranthus tuberculatus;;;;;;;;HAS_ACCEPTED_NAME;COL:CH7D;Amaranthus tuberculatus;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Amaranthoideae | Amaranthus | Amaranthus tuberculatus;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:68Z | COL:62758 | COL:T8M | COL:CH7D;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Amaranthus viridis L.;SAME_AS;;Amaranthus viridis;;;;;;;;SYNONYM_OF;COL:CGYL;Amaranthus blitum;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Amaranthoideae | Amaranthus | Amaranthus blitum;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:68Z | COL:62758 | COL:T8M | COL:CGYL;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Amaranthus viridis L.;SAME_AS;;Amaranthus viridis;;;;;;;;HAS_ACCEPTED_NAME;COL:CH7N;Amaranthus viridis;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Amaranthoideae | Amaranthus | Amaranthus viridis;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:68Z | COL:62758 | COL:T8M | COL:CH7N;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Ambrosia artemisiifolia L.;SAME_AS;;Ambrosia artemisiifolia;;;;;;;;HAS_ACCEPTED_NAME;COL:5TZQZ;Ambrosia artemisiifolia;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Asteroideae | Ambrosia | Ambrosia artemisiifolia;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:ST | COL:622TP | COL:J6T | COL:TLT | COL:5TZQZ;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Ambrosia psilostachya DC.;SAME_AS;;Ambrosia psilostachya;;;;;;;;HAS_ACCEPTED_NAME;COL:CPQ6;Ambrosia psilostachya;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Asteroideae | Ambrosia | Ambrosia psilostachya;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:ST | COL:622TP | COL:J6T | COL:TLT | COL:CPQ6;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Ambrosia trifida L.;SAME_AS;;Ambrosia trifida;;;;;;;;HAS_ACCEPTED_NAME;COL:CPQH;Ambrosia trifida;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Asteroideae | Ambrosia | Ambrosia trifida;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:ST | COL:622TP | COL:J6T | COL:TLT | COL:CPQH;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Ameiurus melas (Rafinesque, 1820);SAME_AS;;Ameiurus melas;;;;;;;;HAS_ACCEPTED_NAME;COL:CQKD;Ameiurus melas;species;;Biota | Animalia | Chordata | Actinopterygii | Siluriformes | Ictaluridae | Ameiurus | Ameiurus melas;COL:5T6MX | COL:N | COL:CH2 | COL:CT | COL:6236K | COL:BCY | COL:628WM | COL:CQKD;unranked | kingdom | phylum | class | order | family | genus | species;;
;Ameiurus nebulosus (Lesueur, 1819);SAME_AS;;Ameiurus nebulosus;;;;;;;;HAS_ACCEPTED_NAME;COL:CQKG;Ameiurus nebulosus;species;;Biota | Animalia | Chordata | Actinopterygii | Siluriformes | Ictaluridae | Ameiurus | Ameiurus nebulosus;COL:5T6MX | COL:N | COL:CH2 | COL:CT | COL:6236K | COL:BCY | COL:628WM | COL:CQKG;unranked | kingdom | phylum | class | order | family | genus | species;;
;Amorpha fruticosa L.;SAME_AS;;Amorpha fruticosa;;;;;;;;HAS_ACCEPTED_NAME;COL:CX4J;Amorpha fruticosa;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Fabales | Fabaceae | Amorpha | Amorpha fruticosa;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:383 | COL:623QT | COL:8R3F9 | COL:CX4J;unranked | kingdom | phylum | class | order | family | genus | species;;
;Amphibalanus amphitrite Darwin, 1854;SAME_AS;;Amphibalanus amphitrite;;;;;;;;NONE;;Amphibalanus amphitrite;;;;;;;
;Anadara kagoshimensis (Tokunaga, 1906);SAME_AS;;Anadara kagoshimensis;;;;;;;;HAS_ACCEPTED_NAME;COL:DCGG;Anadara kagoshimensis;species;;Biota | Animalia | Mollusca | Bivalvia | Autobranchia | Pteriomorphia | Arcida | Arcoidea | Arcidae | Anadara | Anadara kagoshimensis;COL:5T6MX | COL:N | COL:M2L | COL:7NF3C | COL:7NVXG | COL:7NF5P | COL:7NFXP | COL:7NGGW | COL:7NFZ3 | COL:7NNYQ | COL:DCGG;unranked | kingdom | phylum | class | subclass | infraclass | order | superfamily | family | genus | species;;
;Anemone altaica Fisch. ex C.A.Mey.;SAME_AS;;Anemone altaica;;;;;;;;HAS_ACCEPTED_NAME;COL:DX68;Anemone altaica;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Ranunculales | Ranunculaceae | Ranunculoideae | Anemone | Anemone altaica;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:3XS | COL:FJR | COL:K95 | COL:VXV | COL:DX68;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Anethum graveolens L.;SAME_AS;;Anethum graveolens;;;;;;;;HAS_ACCEPTED_NAME;COL:DY93;Anethum graveolens;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Apiales | Apiaceae | Apioideae | Anethum | Anethum graveolens;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:Q3 | COL:6KC | COL:J5W | COL:VZX | COL:DY93;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Anser indicus (Latham, 1790);SAME_AS;;Anser indicus;;;;;;;;HAS_ACCEPTED_NAME;COL:5V9X5;Anser indicus;species;;Biota | Animalia | Chordata | Aves | Anseriformes | Anatidae | Anserinae | Anser | Anser indicus;COL:5T6MX | COL:N | COL:CH2 | COL:V2 | COL:PQ | COL:6D5 | COL:J5J | COL:X5D | COL:5V9X5;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Antirrhinum majus L.;SAME_AS;;Antirrhinum majus;;;;;;;;HAS_ACCEPTED_NAME;COL:F2W4;Antirrhinum majus;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Lamiales | Plantaginaceae | Antirrhinoideae | Antirrhinum | Antirrhinum majus;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:3F4 | COL:6262K | COL:7NLMH | COL:XQV | COL:F2W4;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Aphanomyces astaci Schikora;SAME_AS;;Aphanomyces astaci;;;;;;;;HAS_ACCEPTED_NAME;COL:FBFY;Aphanomyces astaci;species;;Biota | Chromista | Oomycota | Peronosporea | Saprolegniales | Leptolegniaceae | Aphanomyces | Aphanomyces astaci;COL:5T6MX | COL:C | COL:5K | COL:G3 | COL:3ZZ | COL:BXQ | COL:62CW8 | COL:FBFY;unranked | kingdom | phylum | class | order | family | genus | species;;
