Id;Taxonomische groep;Nederlandse naam;Wetenschappelijke naam;Categorie in publicatie;IUCN Categorie;Criterium;Jaar;Vastgesteld;Gevalideerd;Referentie van publicatie;Taal;Toegevoegd op
8277;Doodhoutkevers;Juchtleerkever;Osmoderma eremita;Ernstig bedreigd;Ernstig bedreigd;IUCN;2015;Nee;Ja;Thomaes et al. (2015);nl-BE;2021-06-08T07:34:37.41Z
22442;Amfibieën;Vroedmeesterpad;Alytes obstetricans;Bedreigd;Bedreigd;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.677Z
22443;Amfibieën;Geelbuikvuurpad;Bombina variegata;Regionaal uitgestorven;Regionaal uitgestorven;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.693Z
22444;Amfibieën;Gewone pad;Bufo bufo;Momenteel niet in gevaar;Momenteel niet in gevaar;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.693Z
22445;Amfibieën;Rugstreeppad;Bufo calamita;Kwetsbaar;Kwetsbaar;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.693Z
22446;Amfibieën;Boomkikker;Hyla arborea;Ernstig bedreigd;Ernstig bedreigd;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.693Z
22447;Amfibieën;Knoflookpad;Pelobates fuscus;Ernstig bedreigd;Ernstig bedreigd;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.693Z
22448;Amfibieën;Bastaardkikker;Pelophylax kl. esculentus;Momenteel niet in gevaar;Momenteel niet in gevaar;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.693Z
22449;Amfibieën;Poelkikker;Pelophylax lessonae;Bijna in gevaar;Bijna in gevaar;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.693Z
22450;Amfibieën;Europese meerkikker;Pelophylax ridibundus;Momenteel niet in gevaar;Momenteel niet in gevaar;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.693Z
22451;Amfibieën;Heikikker;Rana arvalis;Kwetsbaar;Kwetsbaar;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.693Z
22452;Amfibieën;Bruine kikker;Rana temporaria;Momenteel niet in gevaar;Momenteel niet in gevaar;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.707Z
22453;Amfibieën;Alpenwatersalamander;Ichthyosaura alpestris;Momenteel niet in gevaar;Momenteel niet in gevaar;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.707Z
22454;Amfibieën;Vinpootsalamander;Lissotriton helveticus;Momenteel niet in gevaar;Momenteel niet in gevaar;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.707Z
22455;Amfibieën;Kleine watersalamander;Lissotriton vulgaris;Momenteel niet in gevaar;Momenteel niet in gevaar;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.707Z
22456;Amfibieën;Vuursalamander;Salamandra salamandra;Kwetsbaar;Kwetsbaar;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.707Z
22457;Amfibieën;Kamsalamander;Triturus cristatus;Kwetsbaar;Kwetsbaar;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.707Z
22458;Amfibieën;Vroedmeesterpad;Alytes obstetricans;Bedreigd;Bedreigd;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.707Z
22459;Amfibieën;Geelbuikvuurpad;Bombina variegata;Uitgestorven in Vlaanderen;Regionaal uitgestorven;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.707Z
22460;Amfibieën;Gewone pad;Bufo bufo;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.707Z
22461;Amfibieën;Rugstreeppad;Bufo calamita;Zeldzaam;Bijna in gevaar;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.707Z
22462;Amfibieën;Boomkikker;Hyla arborea;Met uitsterven bedreigd;Ernstig bedreigd;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.723Z
22463;Amfibieën;Knoflookpad;Pelobates fuscus;Bedreigd;Bedreigd;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.723Z
22464;Amfibieën;Heikikker;Rana arvalis;Zeldzaam;Bijna in gevaar;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.723Z
22465;Amfibieën;Groene kikker;Rana esculenta synklepton;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.723Z
22466;Amfibieën;Bruine kikker;Rana temporaria;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.723Z
22467;Amfibieën;Vuursalamander;Salamandra salamandra;Kwetsbaar;Kwetsbaar;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.723Z
22468;Amfibieën;Alpenwatersalamander;Triturus alpestris;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.723Z
22469;Amfibieën;Kamsalamander;Triturus cristatus;Zeldzaam;Bijna in gevaar;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.723Z
22470;Amfibieën;Vinpootsalamander;Triturus helveticus;Zeldzaam;Bijna in gevaar;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.723Z
22471;Amfibieën;Kleine watersalamander;Triturus vulgaris;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.723Z
22472;Mieren;Woekermier;Anergates atratulus;Met uitsterven bedreigd;Ernstig bedreigd;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.74Z
22473;Mieren;Zwarte reuzenmier;Camponotus vagus;Niet geëvalueerd;Niet geëvalueerd;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.74Z
22474;Mieren;Bruine renmier;Formica cunicularia;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.74Z
22475;Mieren;Grauwzwarte mier;Formica fusca;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.74Z
22476;Mieren;Duinrenmier;Formica lusatica;Bedreigd maar mate waarin ongekend;;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.74Z
22477;Mieren;Kale bosmier;Formica polyctena;Kwetsbaar;Kwetsbaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.74Z
22478;Mieren;Zwartrugbosmier;Formica pratensis;Kwetsbaar;Kwetsbaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.74Z
22479;Mieren;Behaarde bosmier;Formica rufa;Kwetsbaar;Kwetsbaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.74Z
22480;Mieren;hybride van Formica rufa -complex;Formica rufa x polyctena;Bedreigd maar mate waarin ongekend;;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.74Z
22481;Mieren;Rode baardmier;Formica rufibarbis;Kwetsbaar;Kwetsbaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.74Z
22482;Mieren;Bloedrode roofmier;Formica sanguinea;Kwetsbaar;Kwetsbaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.753Z
22483;Mieren;Veenmier;Formica transkaucasica;Sterk bedreigd;Bedreigd;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.753Z
22484;Mieren;Glanzende gastmier;Formicoxenus nitidulus;Met uitsterven bedreigd;Ernstig bedreigd;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.753Z
22485;Mieren;Tropische staafmier;Hypoponera punctatissima;Niet geëvalueerd;Niet geëvalueerd;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.753Z
22486;Mieren;Ergatoïde staafmier;Hypoponera bondroiti;Niet geëvalueerd;Niet geëvalueerd;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.753Z
22487;Mieren;Boommier;Lasius brunneus;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.753Z
22488;Mieren;Muurmier;Lasius emarginatus;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.753Z
22489;Mieren;Gele weidemier;Lasius flavus;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.753Z
22490;Mieren;Glanzende houtmier;Lasius fuliginosus;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.753Z
22491;Mieren;Puntschubmier;Lasius jensi;Geografisch beperkt;Bijna in gevaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.753Z
22492;Mieren;Veldmier;Lasius meridionalis;Kwetsbaar;Kwetsbaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.77Z
22493;Mieren;Wintermier;Lasius mixtus;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.77Z
22494;Mieren;Kleinoogweidemier;Lasius myops;Bedreigd maar mate waarin ongekend;;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.77Z
22495;Mieren;Plaagmier;Lasius neglectus;Niet geëvalueerd;Niet geëvalueerd;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.77Z
22496;Mieren;Wegmier;Lasius niger;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.77Z
22497;Mieren;Humusmier;Lasius platythorax;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.77Z
22498;Mieren;Buntgrasmier;Lasius psammophilus;Kwetsbaar;Kwetsbaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.77Z
22499;Mieren;Breedschubmier;Lasius sabularum;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.77Z
22500;Mieren;Schaduwmier;Lasius umbratus;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.77Z
22501;Mieren;Behaarde slankmier;Leptothorax acervorum;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.77Z
22502;Mieren;Boomslankmier;Leptothorax affinis;Geografisch beperkt;Bijna in gevaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.787Z
22503;Mieren;Mosslankmier;Leptothorax muscorum;Sterk bedreigd;Bedreigd;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.787Z
22504;Mieren;Bosslankmier;Leptothorax nylanderi;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.787Z
22505;Mieren;Faraomier;Monomorium pharaonis;Niet geëvalueerd;Niet geëvalueerd;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.787Z
22506;Mieren;Oprolmier;Myrmecina graminicola;Kwetsbaar;Kwetsbaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.787Z
22507;Mieren;"	Lepelsteekmier";Myrmica lonae;Sterk bedreigd;Bedreigd;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.787Z
22508;Mieren;Gaststeekmier;Myrmica microrubra;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.787Z
22509;Mieren;Gewone steekmier;Myrmica rubra;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.787Z
22510;Mieren;Bossteekmier;Myrmica ruginodis;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.787Z
22511;Mieren;Kleine steekmier;Myrmica rugulosa;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.787Z
22512;Mieren;Zandsteekmier;Myrmica sabuleti;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.787Z
22513;Mieren;Moerassteekmier;Myrmica scabrinodis;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.8Z
22514;Mieren;Kokersteekmier;Myrmica schencki;Kwetsbaar;Kwetsbaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.8Z
22515;Mieren;Duinsteekmier;Myrmica specioides;Kwetsbaar;Kwetsbaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.8Z
22516;Mieren;Heidesteekmier;Myrmica sulcinodis;Met uitsterven bedreigd;Ernstig bedreigd;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.8Z
22517;Mieren;Amazonemier;Polyergus rufescens;Met uitsterven bedreigd;Ernstig bedreigd;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.8Z
22518;Mieren;Gewone staafmier;Ponera coarctata;Sterk bedreigd;Bedreigd;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.8Z
22519;Mieren;Diefmier;Solenopsis fugax;Met uitsterven bedreigd;Ernstig bedreigd;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.8Z
22520;Mieren;Gewone drentelmier;Stenamma debile;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.8Z
22521;Mieren;Engelse drentelmier;Stenamma westwoodi;Bedreigd maar mate waarin ongekend;;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.8Z
22522;Mieren;Sabelmier;Strongylognathus testaceus;Sterk bedreigd;Bedreigd;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.817Z
22523;Mieren;Heidedraaigatje;Tapinoma ambiguum;Sterk bedreigd;Bedreigd;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.817Z
22524;Mieren;Mergeldraaigatje;Tapinoma erraticum;Met uitsterven bedreigd;Ernstig bedreigd;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.817Z
22525;Mieren;Zwarte zaadmier;Tetramorium caespitum;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.817Z
22526;Mieren;Bruine zaadmier;Tetramorium impurum;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.817Z
22527;Broedvogels;Havik;Accipiter gentilis;Bijna in gevaar;Bijna in gevaar;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.817Z
22528;Broedvogels;Sperwer;Accipiter nisus;Momenteel niet in gevaar;Momenteel niet in gevaar;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.817Z
22529;Broedvogels;Buizerd;Buteo buteo;Momenteel niet in gevaar;Momenteel niet in gevaar;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.817Z
22530;Broedvogels;Bruine Kiekendief;Circus aeruginosus;Bedreigd;Bedreigd;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.817Z
22531;Broedvogels;Grauwe Kiekendief;Circus pygargus;Ernstig bedreigd;Ernstig bedreigd;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.817Z
22532;Broedvogels;Zwarte wouw;Milvus migrans;Niet geëvalueerd;Niet geëvalueerd;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.817Z
22533;Broedvogels;Rode wouw;Milvus milvus;Niet geëvalueerd;Niet geëvalueerd;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.833Z
22534;Broedvogels;Wespendief;Pernis apivorus;Bijna in gevaar;Bijna in gevaar;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.833Z
22535;Broedvogels;Mandarijneend;Aix galericulata;Niet van toepassing;Niet van toepassing;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.833Z
22536;Broedvogels;Carolina-eend;Aix sponsa;Niet van toepassing;Niet van toepassing;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.833Z
22537;Broedvogels;Nijlgans;Alopochen aegyptiacus;Niet van toepassing;Niet van toepassing;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.833Z
22538;Broedvogels;Pijlstaart;Anas acuta;Niet geëvalueerd;Niet geëvalueerd;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.833Z
22539;Broedvogels;Bahamapijlstaart;Anas bahamensis;Niet van toepassing;Niet van toepassing;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.833Z
22540;Broedvogels;Slobeend;Anas clypeata;Bijna in gevaar;Bijna in gevaar;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.833Z
22541;Broedvogels;Wintertaling;Anas crecca;Bijna in gevaar;Bijna in gevaar;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.833Z
22542;Broedvogels;Smient;Anas penelope;Niet geëvalueerd;Niet geëvalueerd;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.833Z
22543;Broedvogels;Wilde Eend;Anas platyrhynchos;Momenteel niet in gevaar;Momenteel niet in gevaar;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.847Z
22544;Broedvogels;Zomertaling;Anas querquedula;Bedreigd;Bedreigd;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.847Z
22545;Broedvogels;Krakeend;Anas strepera;Momenteel niet in gevaar;Momenteel niet in gevaar;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.847Z
22546;Broedvogels;Kolgans;Anser albifrons;Niet van toepassing;Niet van toepassing;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.847Z
22547;Broedvogels;Grauwe Gans;Anser anser;Momenteel niet in gevaar;Momenteel niet in gevaar;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.847Z
22548;Broedvogels;Indische gans;Anser indicus;Niet van toepassing;Niet van toepassing;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.847Z
22549;Broedvogels;Tafeleend;Aythya ferina;Bijna in gevaar;Bijna in gevaar;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.847Z
22550;Broedvogels;Kuifeend;Aythya fuligula;Momenteel niet in gevaar;Momenteel niet in gevaar;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.847Z
22551;Broedvogels;Canadese gans;Branta canadensis;Niet van toepassing;Niet van toepassing;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.847Z
22552;Broedvogels;Brandgans;Branta leucopsis;Niet van toepassing;Niet van toepassing;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.847Z
22553;Broedvogels;Brilduiker;Bucephala clangula;Niet geëvalueerd;Niet geëvalueerd;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.847Z
22554;Broedvogels;Magelhaengans;Chloephaga picta;Niet van toepassing;Niet van toepassing;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.863Z
22555;Broedvogels;Zwarte zwaan;Cygnus atratus;Niet van toepassing;Niet van toepassing;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.863Z
22556;Broedvogels;Wilde zwaan;Cygnus cygnus;Niet van toepassing;Niet van toepassing;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.863Z
22557;Broedvogels;Knobbelzwaan;Cygnus olor;Bijna in gevaar;Bijna in gevaar;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.863Z
22558;Broedvogels;Krooneend;Netta rufina;Niet geëvalueerd;Niet geëvalueerd;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.863Z
22559;Broedvogels;Rosse stekelstaarteend;Oxyura jamaicensis;Niet van toepassing;Niet van toepassing;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.863Z
22560;Broedvogels;Casarca;Tadorna ferruginea;Niet van toepassing;Niet van toepassing;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.863Z
22561;Broedvogels;Bergeend;Tadorna tadorna;Momenteel niet in gevaar;Momenteel niet in gevaar;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.863Z
22562;Broedvogels;Gierzwaluw;Apus apus;Momenteel niet in gevaar;Momenteel niet in gevaar;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.88Z
22563;Broedvogels;Hop;Upupa epops;Regionaal uitgestorven;Regionaal uitgestorven;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.88Z
22564;Broedvogels;Nachtzwaluw;Caprimulgus europaeus;Bijna in gevaar;Bijna in gevaar;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.88Z
22565;Broedvogels;Griel;Burhinus oedicnemus;Niet geëvalueerd;Niet geëvalueerd;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.88Z
22566;Broedvogels;Strandplevier;Charadrius alexandrinus;Ernstig bedreigd;Ernstig bedreigd;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.88Z
22567;Broedvogels;Kleine Plevier;Charadrius dubius;Kwetsbaar;Kwetsbaar;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.88Z
22568;Broedvogels;Bontbekplevier;Charadrius hiaticula;Ernstig bedreigd;Ernstig bedreigd;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.88Z
22569;Broedvogels;Goudplevier;Pluvialis apricaria;Niet geëvalueerd;Niet geëvalueerd;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.88Z
22570;Broedvogels;Kievit;Vanellus vanellus;Bedreigd;Bedreigd;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.88Z
22571;Broedvogels;Scholekster;Haematopus ostralegus;Momenteel niet in gevaar;Momenteel niet in gevaar;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.88Z
22572;Broedvogels;Witwangstern;Chlidonias hybridus;Niet geëvalueerd;Niet geëvalueerd;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.893Z
22573;Broedvogels;Witvleugelstern;Chlidonias leucopterus;Niet geëvalueerd;Niet geëvalueerd;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.893Z
22574;Broedvogels;Zwarte Stern;Chlidonias niger;Regionaal uitgestorven;Regionaal uitgestorven;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.893Z
22575;Broedvogels;Zilvermeeuw;Larus argentatus;Bijna in gevaar;Bijna in gevaar;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.893Z
22576;Broedvogels;Stormmeeuw;Larus canus;Ernstig bedreigd;Ernstig bedreigd;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.893Z
22577;Broedvogels;Kleine Mantelmeeuw;Larus fuscus;Bijna in gevaar;Bijna in gevaar;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.893Z
22578;Broedvogels;Grote mantelmeeuw;Larus marinus;Niet geëvalueerd;Niet geëvalueerd;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.893Z
22579;Broedvogels;Zwartkopmeeuw;Larus melanocephalus;Kwetsbaar;Kwetsbaar;IUCN;2016;Ja;Ja;Devos et al. (2016);nl-BE;2021-06-08T07:34:31.893Z
