"source_taxon_name","source_taxon_path","source_taxon_path_ids","source_specimen_occurrence_id","source_specimen_institution_code","source_specimen_collection_code","source_specimen_catalog_number","source_specimen_life_stage_id","source_specimen_life_stage","source_specimen_physiological_state_id","source_specimen_physiological_state","source_specimen_body_part_id","source_specimen_body_part","source_specimen_sex_id","source_specimen_sex","source_specimen_basis_of_record","interaction_type","target_taxon_name","target_taxon_path","target_taxon_path_ids","target_specimen_occurrence_id","target_specimen_institution_code","target_specimen_collection_code","target_specimen_catalog_number","target_specimen_life_stage_id","target_specimen_life_stage","target_specimen_physiological_state_id","target_specimen_physiological_state","target_specimen_body_part_id","target_specimen_body_part","target_specimen_sex_id","target_specimen_sex","target_specimen_basis_of_record","latitude","longitude","event_date","study_citation","study_url","study_source_citation","study_source_archive_uri"
"Hedera maderensis","Plantae | Tracheophyta | Magnoliopsida | Apiales | Araliaceae | Hedera | Hedera maderensis","GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:1351 | GBIF:8800 | GBIF:3036021 | GBIF:3036073",,,,,,,,,,,,,,"flowersVisitedBy","Vespa velutina","Animalia | Arthropoda | Insecta | Hymenoptera | Vespidae | Vespa | Vespa velutina","GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4490 | GBIF:1311334 | GBIF:1311477",,,,,,,,,,,,,,44.79,5.8,"2011-09-01T00:00:00Z","Monceau K, Bonnard O, Thiery D. 2014. Vespa velutina: a new invasive predator of honeybees in Europe. Journal of Pest Science 87: 1-16. doi:10.1007/s10340-013-0537-3","https://link.springer.com/content/pdf/10.1007/s10340-013-0537-3.pdf","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","https://zenodo.org/record/5501763/files/qgroom/Vespa-velutina-v1.0.zip"
"Gallus gallus","Animalia | Chordata | Aves | Galliformes | Phasianidae | Gallus | Gallus gallus","GBIF:1 | GBIF:44 | GBIF:212 | GBIF:723 | GBIF:9331 | GBIF:2473720 | GBIF:9326020",,,,,,,,,,,,,,"preysOn","Vespa velutina","Animalia | Arthropoda | Insecta | Hymenoptera | Vespidae | Vespa | Vespa velutina","GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4490 | GBIF:1311334 | GBIF:1311477",,,,,,,,,,,,,,,,,"Monceau K, Bonnard O, Thiery D. 2014. Vespa velutina: a new invasive predator of honeybees in Europe. Journal of Pest Science 87: 1-16. doi:10.1007/s10340-013-0537-3","https://link.springer.com/content/pdf/10.1007/s10340-013-0537-3.pdf","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","https://zenodo.org/record/5501763/files/qgroom/Vespa-velutina-v1.0.zip"
"Pernis apivorus","Animalia | Chordata | Aves | Accipitriformes | Accipitridae | Pernis | Pernis apivorus","GBIF:1 | GBIF:44 | GBIF:212 | GBIF:7191147 | GBIF:2877 | GBIF:2480419 | GBIF:2480420",,,,,,,,,,,,,,"preysOn","Vespa velutina","Animalia | Arthropoda | Insecta | Hymenoptera | Vespidae | Vespa | Vespa velutina","GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4490 | GBIF:1311334 | GBIF:1311477",,,,,,,,,,,,,,,,,"Monceau K, Bonnard O, Thiery D. 2014. Vespa velutina: a new invasive predator of honeybees in Europe. Journal of Pest Science 87: 1-16. doi:10.1007/s10340-013-0537-3","https://link.springer.com/content/pdf/10.1007/s10340-013-0537-3.pdf","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","https://zenodo.org/record/5501763/files/qgroom/Vespa-velutina-v1.0.zip"
"Vitis vinifera","Plantae | Tracheophyta | Magnoliopsida | Vitales | Vitaceae | Vitis | Vitis vinifera","GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:7222050 | GBIF:6672 | GBIF:7467468 | GBIF:5372392",,,,,,,,,,,,,,"flowersVisitedBy","Vespa velutina","Animalia | Arthropoda | Insecta | Hymenoptera | Vespidae | Vespa | Vespa velutina","GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4490 | GBIF:1311334 | GBIF:1311477",,,,,,,,,,,,,,,,,"Monceau K, Bonnard O, Thiery D. 2014. Vespa velutina: a new invasive predator of honeybees in Europe. Journal of Pest Science 87: 1-16. doi:10.1007/s10340-013-0537-3","https://link.springer.com/content/pdf/10.1007/s10340-013-0537-3.pdf","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","https://zenodo.org/record/5501763/files/qgroom/Vespa-velutina-v1.0.zip"
"Apis mellifera","Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Apis | Apis mellifera","GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4334 | GBIF:7799978 | GBIF:1341976",,,,,,,,,,,,,,"eatenBy","Vespa velutina","Animalia | Arthropoda | Insecta | Hymenoptera | Vespidae | Vespa | Vespa velutina","GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4490 | GBIF:1311334 | GBIF:1311477",,,,,,,,,,,,,,44.79,5.75,"2009-06-19T00:00:00Z","Monceau K, Arca M, Leprêtre L, Mougel F, Bonnard O, Silvain J-F, Maher N, Arnold G, Thiéry D. 2013. Native Prey and Invasive Predator Patterns of Foraging Activity: The Case of the Yellow-Legged Hornet Predation at European Honeybee Hives. Plos One 8: e66492. doi:10.1371/journal.pone.0066492","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0066492","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","https://zenodo.org/record/5501763/files/qgroom/Vespa-velutina-v1.0.zip"
"Varroa destructor","Animalia | Arthropoda | Arachnida | Mesostigmata | Varroidae | Varroa | Varroa destructor","GBIF:1 | GBIF:54 | GBIF:367 | GBIF:1109 | GBIF:6080 | GBIF:2188248 | GBIF:2188249",,,,,,,,,,,,,,"hasHost","Vespa velutina","Animalia | Arthropoda | Insecta | Hymenoptera | Vespidae | Vespa | Vespa velutina","GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4490 | GBIF:1311334 | GBIF:1311477",,,,,,,,,,"abdomen",,,,43.4,-6.73,"2020-04-01T00:00:00Z","Sánchez O, Arias A. 2021. All that glitters is not gold: The other insects that fall into the asian yellow-legged hornet vespa velutina ‘specific’ traps. Biology 10 (art. 448). doi:10.3390/biology10050448","https://res.mdpi.com/d_attachment/biology/biology-10-00448/article_deploy/biology-10-00448.pdf","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","https://zenodo.org/record/5501763/files/qgroom/Vespa-velutina-v1.0.zip"
"Israeli acute paralysis virus",,,,,,,,,,,,,,,,"hasHost","Vespa velutina","Animalia | Arthropoda | Insecta | Hymenoptera | Vespidae | Vespa | Vespa velutina","GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4490 | GBIF:1311334 | GBIF:1311477",,,,,,,,,,"head and thorax",,,,,,,"Yanez O, Zheng HQ, Hu FL, Neumann P, Dietemann V. 2012. A scientific note on Israeli acute paralysis virus infection of Eastern honeybee Apis cerana and vespine predator Vespa velutina. Apidologie 43: 587-589. doi:10.1007/s13592-012-0128-y","https://link.springer.com/content/pdf/10.1007/s13592-012-0128-y.pdf","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","https://zenodo.org/record/5501763/files/qgroom/Vespa-velutina-v1.0.zip"
"Hymenoptera","Animalia | Arthropoda | Insecta | Hymenoptera","EOL:1 | EOL:164 | EOL:344 | EOL:648",,,,,,,,,,,,,,"interactsWith","Vespa velutina","Animalia | Arthropoda | Insecta | Hymenoptera | Vespidae | Vespa | Vespa velutina","GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4490 | GBIF:1311334 | GBIF:1311477",,,,,,,,,,,,,,,,"2017-01-01T00:00:00Z","Yamasaki K, Takahashi R, Harada R, Matsuo Y, Nakamura M, Takahashi J. 2019. Reproductive interference by alien hornet Vespa velutina threatens the native populations of Vespa simillima in Japan. Science of Nature 106 (art. 15). doi:10.1007/s00114-019-1609-x","https://link.springer.com/content/pdf/10.1007/s00114-019-1609-x.pdf","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","https://zenodo.org/record/5501763/files/qgroom/Vespa-velutina-v1.0.zip"
"Hymenoptera","Animalia | Arthropoda | Insecta | Hymenoptera","EOL:1 | EOL:164 | EOL:344 | EOL:648",,,,,,,,,,,,,,"interactsWith","Vespa velutina","Animalia | Arthropoda | Insecta | Hymenoptera | Vespidae | Vespa | Vespa velutina","GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4490 | GBIF:1311334 | GBIF:1311477",,,,,,,,,,,,,,,,"2014-01-01T00:00:00Z","Yamasaki K, Takahashi R, Harada R, Matsuo Y, Nakamura M, Takahashi J. 2019. Reproductive interference by alien hornet Vespa velutina threatens the native populations of Vespa simillima in Japan. Science of Nature 106 (art. 15). doi:10.1007/s00114-019-1609-x","https://link.springer.com/content/pdf/10.1007/s00114-019-1609-x.pdf","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","https://zenodo.org/record/5501763/files/qgroom/Vespa-velutina-v1.0.zip"
"Pheromermis","Animalia | Nematoda | Adenophorea | Mermithida | Mermithidae | Pheromermis","GBIF:1 | GBIF:5967481 | GBIF:251 | GBIF:975 | GBIF:6495 | GBIF:4281956",,,,,,,,,,,,,,"hasHost","Vespa velutina","Animalia | Arthropoda | Insecta | Hymenoptera | Vespidae | Vespa | Vespa velutina","GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4490 | GBIF:1311334 | GBIF:1311477",,,,,,,,,,,,,,,,"2013-01-01T00:00:00Z","Villemant C, Zuccon D, Rome Q, Muller F, Poinar Jr GO, Justine J-L. 2015. Can parasites halt the invader? Mermithid nematodes parasitizing the yellow-legged Asian hornet in France. Peerj 3: e947. doi:10.7717/peerj.947","https://doi.org/10.7717/peerj.947","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","https://zenodo.org/record/5501763/files/qgroom/Vespa-velutina-v1.0.zip"
