speciesKey,scientificName,rank,taxonomicStatus,kingdom,includes
1067432,"Aphodius coniugatus (Panzer, 1795)",SPECIES,ACCEPTED,Animalia,"1067432: Aphodius coniugatus (Panzer, 1795)"
1068608,"Acrossus luridus (Fabricius, 1775)",SPECIES,ACCEPTED,Animalia,"1068608: Acrossus luridus (Fabricius, 1775)"
1070351,"Eupleurus subterraneus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1070351: Eupleurus subterraneus (Linnaeus, 1758)"
1070532,"Otophorus haemorrhoidalis (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1070532: Otophorus haemorrhoidalis (Linnaeus, 1758)"
1070569,"Pleurophorus caesus (Panzer, 1796)",SPECIES,ACCEPTED,Animalia,"1070569: Pleurophorus caesus (Panzer, 1796)"
1070611,"Parammoecius gibbus (Germar, 1816)",SPECIES,ACCEPTED,Animalia,"1070611: Parammoecius gibbus (Germar, 1816)"
1070887,"Trypocopris vernalis (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1070887: Trypocopris vernalis (Linnaeus, 1758)"
1071074,"Lethrus apterus (Laxmann, 1770)",SPECIES,ACCEPTED,Animalia,"1071074: Lethrus apterus (Laxmann, 1770)"
1071240,"Anoplotrupes stercorosus (Scriba, 1791)",SPECIES,ACCEPTED,Animalia,"1071240: Anoplotrupes stercorosus (Scriba, 1791)"
1075563,"Pentodon bidens (Pallas, 1771)",SPECIES,ACCEPTED,Animalia,"1075581: Pentodon bidens sulcifrons Küster, 1848"
1075615,"Pentodon idiota (Herbst, 1789)",SPECIES,ACCEPTED,Animalia,"1075615: Pentodon idiota (Herbst, 1789)"
1077130,"Oxythyrea funesta (Poda, 1761)",SPECIES,ACCEPTED,Animalia,"1077130: Oxythyrea funesta (Poda, 1761)"
1077829,"Cetonia aurata (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1077829: Cetonia aurata (Linnaeus, 1758)"
1079588,"Osmoderma eremita (Scopoli, 1763)",SPECIES,ACCEPTED,Animalia,"1079588: Osmoderma eremita (Scopoli, 1763)"
1080269,"Protaetia cuprea (Fabricius, 1775)",SPECIES,ACCEPTED,Animalia,"1080269: Protaetia cuprea (Fabricius, 1775) | 4424877: Protaetia cuprea metallica (Herbst, 1782)"
1080792,"Protaetia affinis (Andersch, 1797)",SPECIES,ACCEPTED,Animalia,"1080792: Protaetia affinis (Andersch, 1797)"
1081167,"Gnorimus variabilis (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1081167: Gnorimus variabilis (Linnaeus, 1758)"
1082966,"Valgus hemipterus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1082966: Valgus hemipterus (Linnaeus, 1758)"
1084559,"Tropinota hirta (Poda, 1761)",SPECIES,ACCEPTED,Animalia,"1084559: Tropinota hirta (Poda, 1761)"
1085188,"Trichius fasciatus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1085188: Trichius fasciatus (Linnaeus, 1758)"
1085286,"Trichius sexualis Bedel, 1906",SPECIES,ACCEPTED,Animalia,"1085286: Trichius sexualis Bedel, 1906"
1085533,"Bolbelasmus unicornis (Schrank, 1789)",SPECIES,ACCEPTED,Animalia,"1085533: Bolbelasmus unicornis (Schrank, 1789)"
1086708,"Sisyphus schaefferi (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1086708: Sisyphus schaefferi (Linnaeus, 1758)"
