id	taxonID	scientificName	kingdom	phylum	class	order	family	genus	taxonRank	vernacularName	nomenclaturalCode	language	license	rightsHolder	accessRights	datasetID	datasetName
INBO_RL_SPI_1998_NONVAL_7	INBO_RL_SPI_1998_NONVAL_7	Aelurillus v-insignitus	Animalia	Arthropoda	Arachnida	Aranaea	Salticidae	Aelurillus	species	V-vlek-springspin	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_70	INBO_RL_SPI_1998_NONVAL_70	Baryphyma trifrons	Animalia	Arthropoda	Arachnida	Aranaea	Linyphiidae	Baryphyma	species	Kust-putkopje	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_71	INBO_RL_SPI_1998_NONVAL_71	Bathyphantes approximatus	Animalia	Arthropoda	Arachnida	Aranaea	Linyphiidae	Bathyphantes	species	Moeras-wevertje	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_72	INBO_RL_SPI_1998_NONVAL_72	Bathyphantes gracilis	Animalia	Arthropoda	Arachnida	Aranaea	Linyphiidae	Bathyphantes	species	Gewoon wevertje	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_73	INBO_RL_SPI_1998_NONVAL_73	Bathyphantes nigrinus	Animalia	Arthropoda	Arachnida	Aranaea	Linyphiidae	Bathyphantes	species	Donker wevertje	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_74	INBO_RL_SPI_1998_NONVAL_74	Bathyphantes parvulus	Animalia	Arthropoda	Arachnida	Aranaea	Linyphiidae	Bathyphantes	species	Kleinste wevertje	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_75	INBO_RL_SPI_1998_NONVAL_75	Bathyphantes setiger	Animalia	Arthropoda	Arachnida	Aranaea	Linyphiidae	Bathyphantes	species	Harig wevertje	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_76	INBO_RL_SPI_1998_NONVAL_76	Bianor aurocinctus	Animalia	Arthropoda	Arachnida	Aranaea	Salticidae	Bianor	species	Bodemspringspin	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_77	INBO_RL_SPI_1998_NONVAL_77	Bolyphantes luteolus	Animalia	Arthropoda	Arachnida	Aranaea	Linyphiidae	Bolyphantes	species	Gevlekt voorkopje	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_SPI_1998_NONVAL_78	INBO_RL_SPI_1998_NONVAL_78	Callilepis nocturna	Animalia	Arthropoda	Arachnida	Aranaea	Gnaphosidae	Callilepis	species	Mierendief	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
